Geneid	../bam/americana_AG_1.bam	../bam/americana_AG_2.bam	../bam/americana_AG_3.bam	../bam/americana_carcass_1.bam	../bam/americana_carcass_2.bam	../bam/americana_carcass_3.bam	../bam/americana_EB_1.bam	../bam/americana_EB_2.bam	../bam/americana_testes_1.bam	../bam/americana_testes_2.bam	../bam/americana_testes_3.bam	../bam/DameSB_fem.bam	../bam/DameSB_mal.bam
MSTRG.14420	0	6	0	2	3	3	7	17	449	350	420	2	139
MSTRG.14421	0	2	4	234	370	196	5	3	3	2	5	58	538
MSTRG.14422	4379	4308	4212	2871	1692	1561	1083	1708	149	233	207	5629	7704
MSTRG.14423	0	29	1	0	3	2	1	77	864	1391	1559	0	2535
MSTRG.14424	753	857	973	951	983	816	676	1045	321	502	578	5009	4282
MSTRG.14425	403	509	430	467	545	333	485	672	276	413	475	1613	2374
MSTRG.14426	1272	870	969	7653	3401	4243	2047	2787	589	683	830	5209	19747
MSTRG.14427	11	1	6	94	86	27	3	0	0	0	0	2	6
MSTRG.14428	8	0	5	280	217	209	2	0	1	2	6	179	492
MSTRG.14429	74	69	71	148	10	98	104	177	59	82	109	349	1054
MSTRG.14430	2	2	2	11	27	12	37	36	2	2	2	7	67
MSTRG.14431	0	1	0	0	1	0	0	0	0	0	0	1	343
MSTRG.14432	1	1	0	0	1	2	0	11	58	102	123	2	1010
MSTRG.14433	3	6	6	16	5	11	1	9	1	4	0	2	35
MSTRG.14434	102	112	72	2368	1178	672	94	137	13	30	24	582	3455
MSTRG.14435	121	85	116	54	19	48	23	38	20	12	29	54	341
MSTRG.14436	1230	654	527	51	14	10	3045	1840	44	59	57	427	415
MSTRG.14437	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.14438	481	737	439	0	0	0	0	1	1	1	1	1	29
MSTRG.14439	2615	3510	3377	5007	12762	4654	3003	5001	889	1340	1446	17003	13855
MSTRG.14440	246	324	334	419	855	375	214	487	959	1368	1582	4620	7057
MSTRG.14441	199	139	172	537	273	272	193	419	193	265	324	2529	1101
MSTRG.14442	13	8	7	29	24	8	1	1	5	7	9	10	71
MSTRG.14443	902	2246	3493	2152	10082	2864	1172	2205	2442	4612	6658	12682	32699
MSTRG.14444	14	395	12	25	17	55	7	686	10651	11221	12567	47	49693
MSTRG.14445	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.14446	51	67	59	232	201	194	89	133	27	50	57	1185	825
MSTRG.14447	210	369	179	890	977	710	363	1042	7550	7007	8467	11333	45437
MSTRG.14448	178	179	150	342	582	316	402	610	77	97	127	2505	700
MSTRG.14449	1	0	1	6	7	9	52	67	8	4	10	24	82
MSTRG.14450	3	4	8	706	2772	1358	159	156	2	3	5	1810	1213
MSTRG.14451	580	640	613	2027	3005	1702	1169	2311	2309	3207	3748	5174	16190
MSTRG.14452	1587	1997	2488	123	226	185	73	89	155	254	366	1138	1156
MSTRG.14453	16922	22919	24611	31198	110279	26716	8243	18157	4528	6599	7464	269556	108641
MSTRG.14454	0	28	0	2	9	5	0	49	551	1115	1372	2	3635
MSTRG.14455	549	728	818	2306	3447	2588	843	1632	1356	1979	2355	9919	11268
MSTRG.14456	195	60	88	1504	607	728	34	78	206	155	196	4806	3721
MSTRG.14457	169	113	131	1328	1342	815	321	524	452	548	625	2204	3776
MSTRG.14458	118	191	109	447	656	378	256	531	988	1372	1569	3051	4020
MSTRG.14459	87	180	85	9	4	29	12	161	1673	2438	3009	3985	12882
MSTRG.14460	771	807	670	3583	3694	2846	1929	3326	4837	5796	6425	12768	28973
MSTRG.14461	2178	2884	2964	3613	3023	2556	2764	5236	14596	18860	22760	28898	110158
MSTRG.14462	0	0	0	438	132	187	0	1	5	6	6	130	693
MSTRG.14463	228	353	248	544	737	475	262	606	2763	4373	5219	5410	22558
MSTRG.14464	898	923	988	2000	2000	1687	665	956	929	1502	1762	8010	8588
MSTRG.14465	18	5	9	3	2	0	0	3	2	0	1	28	30
MSTRG.14466	5614	6158	6543	9986	23763	10151	12206	21282	2704	4152	4610	50926	42184
MSTRG.14467	114	73	76	1323	813	1094	1019	1563	267	304	345	1946	3921
MSTRG.14468	9	12	13	104	907	478	38	78	437	594	674	1572	3967
MSTRG.14469	1	4	16	506	1130	620	8	2	0	4	45	10835	5653
MSTRG.14470	422	339	172	1171	792	1202	557	364	605	746	870	1825	5053
MSTRG.14471	2	0	1	61	65	37	3	7	10	8	16	94	67
MSTRG.14472	119	132	123	1095	1884	817	120	210	834	1210	1425	9235	8643
MSTRG.14473	0	3	0	0	3	2	0	7	155	145	144	112	625
MSTRG.14474	0	1	0	13	1	2	0	6	16	42	39	8	70
MSTRG.14475	32	413	20	6	23	54	14	978	12728	17432	19229	42	75297
MSTRG.14476	0	0	0	0	0	0	0	2	57	70	70	1	126
MSTRG.14477	2053	1732	1780	2732	2282	3245	1570	2172	980	1435	1884	7240	23917
MSTRG.14478	4	4	2	0	0	0	0	12	87	105	121	0	322
MSTRG.14479	7	80	3	3	3	5	3	246	3439	3823	4590	8	24281
MSTRG.14480	5	124	8	0	8	29	3	191	2790	3331	3682	8	17111
MSTRG.14481	1	0	0	12	19	9	0	0	0	1	0	0	4
MSTRG.14482	1	1	3	26	20	8	1	12	202	188	213	4	1365
MSTRG.14483	7	47	9	2	20	6	1	379	5339	4830	5624	9	21618
MSTRG.14484	2	12	20	2429	4897	3474	38	58	126	178	185	1960	9141
MSTRG.14485	49	61	80	143	241	150	68	151	261	340	378	2683	2518
MSTRG.14486	1343	1544	1732	5830	2285	2845	517	899	724	768	977	3808	15300
MSTRG.14487	76	6	1	22	0	0	0	1	12	3	5	81	267
MSTRG.14488	0	0	0	0	0	0	0	1	29	22	41	0	7
MSTRG.14489	35	965	73	10	53	195	43	1628	18847	28551	31548	47	98812
MSTRG.14490	0	1	0	0	0	0	0	0	140	39	49	0	927
MSTRG.14491	0	0	0	3	2	1	2	0	25	25	43	0	5
MSTRG.14492	36	90	35	33	31	41	22	253	4725	4042	4692	217	16914
MSTRG.14493	372	447	363	290	462	386	138	221	141	188	269	1739	2197
MSTRG.14494	14	112	7	1	8	20	3	311	4437	5582	5947	5	18311
MSTRG.14495	191	107	104	1	1	1	0	3	1	3	6	0	37
